Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Aganampudi,01-Apr-21,55.00;80.00;1815.00;25.00,90.00;130.00;2935.00;45.00,185.00 ;275.00;6150.00;90.00,200.00 ;300.00;6710.00;100.00,290.00 ;435.00;9645.00;145.00,290.00 ;435.00;9645.00;145.00,350.00 ;530.00;11740.00;175.00,
Govindpur,01-Apr-21,35.00;55.00;1250.00;20.00,60.00;90.00;2020.00;30.00,125.00 ;190.00;4230.00;65.00,140.00 ;210.00;4615.00;70.00,200.00 ;300.00;6630.00;100.00,200.00 ;300.00;6630.00;100.00,240.00 ;365.00;8075.00;120.00,
Deederganj,01-Apr-2020?˙?˙?˙?˙?˙?˙?˙?˙?˙?˙,110.00;165.00;3635.00;NA,165.00;250.00;5550.00;NA,335.00 ;500.00;11125.00;NA,505.00 ;755.00;16815.00;NA,505.00 ;755.00;16815.00;NA,505.00 ;755.00;16815.00;NA,660.00 ;995.00;22070.00;NA,31-Mar-21
Khaikhat,01-Apr-21,60.00;85.00;1930.00;30.00,95.00;140.00;3120.00;45.00,195.00 ;295.00;6535.00;100.00,215.00 ;320.00;7125.00;105.00,305.00 ;460.00;10245.00;155.00,305.00 ;460.00;10245.00;155.00,375.00 ;560.00;12470.00;185.00,
Daffi,01-Apr-2020?˙?˙?˙?˙?˙?˙?˙?˙?˙?˙,65.00;100.00;2195.00;NA,105.00;160.00;3545.00;NA,225.00 ;335.00;7425.00;NA,350.00 ;525.00;11645.00;NA,350.00 ;525.00;11645.00;NA,350.00 ;525.00;11645.00;NA,425.00 ;640.00;14175.00;NA,31-Mar-21
Maranga,01-Apr-21,60.00;90.00;2035.00;30.00,100.00;150.00;3290.00;50.00,205.00 ;310.00;6890.00;105.00,225.00 ;340.00;7515.00;115.00,325.00 ;485.00;10805.00;160.00,325.00 ;485.00;10805.00;160.00,395.00 ;590.00;13155.00;195.00,
Mohania,01-Apr-2020?˙?˙?˙?˙?˙?˙?˙?˙?˙?˙,50.00;75.00;1700.00;NA,80.00;125.00;2745.00;NA,175.00 ;260.00;5750.00;NA,270.00 ;405.00;9020.00;NA,270.00 ;405.00;9020.00;NA,270.00 ;405.00;9020.00;NA,330.00 ;495.00;10980.00;NA,31-Mar-21
Kharik,01-Apr-21,50.00;80.00;1730.00;25.00,85.00;125.00;2795.00;40.00,175.00 ;265.00;5850.00;90.00,190.00 ;285.00;6385.00;95.00,275.00 ;415.00;9175.00;140.00,275.00 ;415.00;9175.00;140.00,335.00 ;505.00;11170.00;170.00,
Mahanth Maniyari,01-Apr-21,40.00;65.00;1410.00;20.00,70.00;100.00;2275.00;35.00,145.00 ;215.00;4770.00;70.00,155.00 ;235.00;5200.00;80.00,225.00 ;335.00;7475.00;110.00,225.00 ;335.00;7475.00;110.00,275.00 ;410.00;9100.00;135.00,
Bishunpurwa,01-Apr-21,30.00;45.00;965.00;15.00,45.00;70.00;1555.00;25.00,100.00 ;145.00;3260.00;50.00,105.00 ;160.00;3560.00;55.00,155.00 ;230.00;5115.00;75.00,155.00 ;230.00;5115.00;75.00,185.00 ;280.00;6230.00;95.00,
Bhagalpur,01-Apr-21,20.00;30.00;670.00;10.00,30.00;50.00;1085.00;15.00,70.00 ;100.00;2270.00;35.00,75.00 ;110.00;2475.00;35.00,105.00 ;160.00;3560.00;55.00,105.00 ;160.00;3560.00;55.00,130.00 ;195.00;4335.00;65.00,
Barsoni,01-Apr-21,60.00;90.00;1980.00;30.00,95.00;145.00;3195.00;50.00,200.00 ;300.00;6700.00;100.00,220.00 ;330.00;7305.00;110.00,315.00 ;475.00;10505.00;160.00,315.00 ;475.00;10505.00;160.00,385.00 ;575.00;12785.00;190.00,
Balgudar,01-Apr-21,50.00;75.00;1660.00;25.00,80.00;120.00;2680.00;40.00,170.00 ;255.00;5615.00;85.00,185.00 ;275.00;6125.00;90.00,265.00 ;395.00;8810.00;130.00,265.00 ;395.00;8810.00;130.00,320.00 ;485.00;10725.00;160.00,
Asanpur,01-Apr-2020?˙?˙?˙?˙?˙?˙?˙?˙?˙?˙,85.00;130.00;2885.00;45.00,140.00;210.00;4660.00;70.00,295.00 ;440.00;9760.00;145.00,320.00 ;480.00;10650.00;160.00,460.00 ;690.00;15305.00;230.00,460.00 ;690.00;15305.00;230.00,560.00 ;840.00;18635.00;280.00,31-Mar-21
Maithi,01-Apr-2020?˙?˙?˙?˙?˙?˙?˙?˙?˙?˙,115.00;175.00;3875.00;60.00,190.00;280.00;6260.00;95.00,395.00 ;590.00;13115.00;195.00,430.00 ;645.00;14305.00;215.00,615.00 ;925.00;20565.00;310.00,615.00 ;925.00;20565.00;310.00,750.00 ;1125.00;25035.00;375.00,31-Mar-21
Sulkhapara,01-Apr-21,55.00;85.00;1855.00;30.00,90.00;135.00;2995.00;45.00,190.00 ;280.00;6275.00;95.00,205.00 ;310.00;6845.00;105.00,295.00 ;445.00;9840.00;150.00,295.00 ;445.00;9840.00;150.00,360.00 ;540.00;11975.00;180.00,
Sali Bamandanga,01-Apr-21,80.00;125.00;2735.00;40.00,135.00;200.00;4420.00;65.00,280.00 ;415.00;9265.00;140.00,305.00 ;455.00;10105.00;150.00,435.00 ;655.00;14530.00;220.00,435.00 ;655.00;14530.00;220.00,530.00 ;795.00;17690.00;265.00,
Satbhaiya,01-Apr-21,55.00;80.00;1785.00;25.00,85.00;130.00;2880.00;45.00,180.00 ;270.00;6040.00;90.00,200.00 ;295.00;6590.00;100.00,285.00 ;425.00;9470.00;140.00,285.00 ;425.00;9470.00;140.00,345.00 ;520.00;11530.00;175.00,
Rasampalayan,01-Sep-2019?˙?˙?˙?˙?˙?˙?˙?˙?˙?˙,45.00;70.00;1390.00;NA,80.00;120.00;2435.00;NA,160.00 ;245.00;4875.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,31-Aug-20
Rangalibazna,01-Apr-21,70.00;105.00;2335.00;35.00,115.00;170.00;3775.00;55.00,235.00 ;355.00;7905.00;120.00,260.00 ;390.00;8625.00;130.00,370.00 ;560.00;12400.00;185.00,370.00 ;560.00;12400.00;185.00,455.00 ;680.00;15095.00;225.00,
Surjapur,01-Apr-21,80.00;120.00;2630.00;40.00,125.00;190.00;4250.00;65.00,265.00 ;400.00;8900.00;135.00,290.00 ;435.00;9710.00;145.00,420.00 ;630.00;13960.00;210.00,420.00 ;630.00;13960.00;210.00,510.00 ;765.00;16995.00;255.00,
