Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Aganampudi,01-Apr-21,55.00;80.00;1815.00;25.00,90.00;130.00;2935.00;45.00,185.00 ;275.00;6150.00;90.00,200.00 ;300.00;6710.00;100.00,290.00 ;435.00;9645.00;145.00,290.00 ;435.00;9645.00;145.00,350.00 ;530.00;11740.00;175.00,
Nannur,01-Apr-21,75.00;110.00;2470.00;NA,115.00;175.00;3850.00;NA,235.00 ;355.00;7895.00;NA,365.00 ;545.00;12100.00;NA,365.00 ;545.00;12100.00;NA,365.00 ;545.00;12100.00;NA,460.00 ;695.00;15400.00;NA,
Nathavalasa/ Vizianagaram,01-Apr-21,65.00;95.00;2110.00;30.00,100.00;155.00;3405.00;50.00,215.00 ;320.00;7135.00;105.00,235.00 ;350.00;7785.00;115.00,335.00 ;505.00;11190.00;170.00,335.00 ;505.00;11190.00;170.00,410.00 ;615.00;13625.00;205.00,
Palempalli,01-Apr-21,40.00;55.00;1260.00;NA,60.00;90.00;2035.00;NA,130.00 ;190.00;4265.00;NA,200.00 ;300.00;6685.00;NA,200.00 ;300.00;6685.00;NA,200.00 ;300.00;6685.00;NA,245.00 ;365.00;8140.00;NA,
Patancheru (Prograssive Construction Toll) (MoRTH),09-Jul-2013          ,22.00;33.00;660.00;22.00,44.00;66.00;1320.00;44.00,81.00 ;122.00;2430.00;81.00,176.00 ;264.00;2430.00;176.00,,,,09-Jul-15
Mekalavaripalli,01-Apr-21,40.00;60.00;1325.00;20.00,65.00;95.00;2140.00;30.00,135.00 ;200.00;4490.00;65.00,145.00 ;220.00;4895.00;75.00,210.00 ;315.00;7040.00;105.00,210.00 ;315.00;7040.00;105.00,255.00 ;385.00;8570.00;130.00,
Raviguntapalli,01-Apr-21,30.00;45.00;1050.00;15.00,50.00;75.00;1695.00;25.00,105.00 ;160.00;3550.00;55.00,115.00 ;175.00;3875.00;60.00,165.00 ;250.00;5570.00;85.00,165.00 ;250.00;5570.00;85.00,205.00 ;305.00;6780.00;100.00,
Rapur,01-Apr-21,35.00;50.00;1125.00;15.00,55.00;80.00;1815.00;25.00,115.00 ;170.00;3800.00;55.00,125.00 ;185.00;4145.00;60.00,180.00 ;270.00;5960.00;90.00,180.00 ;270.00;5960.00;90.00,220.00 ;325.00;7255.00;110.00,
Pottipadu,01-Apr-21,45.00;65.00;1425.00;20.00,70.00;105.00;2305.00;35.00,145.00 ;215.00;4830.00;70.00,160.00 ;235.00;5270.00;80.00,225.00 ;340.00;7570.00;115.00,225.00 ;340.00;7570.00;115.00,275.00 ;415.00;9220.00;140.00,
Madapam,01-Apr-21,30.00;45.00;950.00;15.00,45.00;70.00;1535.00;25.00,95.00 ;145.00;3215.00;50.00,105.00 ;160.00;3505.00;55.00,150.00 ;225.00;5040.00;75.00,150.00 ;225.00;5040.00;75.00,185.00 ;275.00;6135.00;90.00,
Main Toll (Panchvati),01-Apr-21,39.00;234.00;7018.00;NA,68.00;410.00;12314.00;NA,137.00 ;821.00;24628.00;NA,222.00 ;1334.00;40021.00;NA,222.00 ;1334.00;40021.00;NA,222.00 ;1334.00;40021.00;NA,274.00 ;1642.00;49255.00;NA,
Laxmipuram,01-Apr-21,120.00;185.00;4070.00;60.00,195.00;295.00;6580.00;100.00,415.00 ;620.00;13785.00;205.00,450.00 ;675.00;15035.00;225.00,650.00 ;975.00;21615.00;325.00,650.00 ;975.00;21615.00;325.00,790.00 ;1185.00;26315.00;395.00,
Surjapur,01-Apr-21,80.00;120.00;2630.00;40.00,125.00;190.00;4250.00;65.00,265.00 ;400.00;8900.00;135.00,290.00 ;435.00;9710.00;145.00,420.00 ;630.00;13960.00;210.00,420.00 ;630.00;13960.00;210.00,510.00 ;765.00;16995.00;255.00,
Sali Bamandanga,01-Apr-21,80.00;125.00;2735.00;40.00,135.00;200.00;4420.00;65.00,280.00 ;415.00;9265.00;140.00,305.00 ;455.00;10105.00;150.00,435.00 ;655.00;14530.00;220.00,435.00 ;655.00;14530.00;220.00,530.00 ;795.00;17690.00;265.00,
Sulkhapara,01-Apr-21,55.00;85.00;1855.00;30.00,90.00;135.00;2995.00;45.00,190.00 ;280.00;6275.00;95.00,205.00 ;310.00;6845.00;105.00,295.00 ;445.00;9840.00;150.00,295.00 ;445.00;9840.00;150.00,360.00 ;540.00;11975.00;180.00,
Rasampalayan,01-Sep-2019          ,45.00;70.00;1390.00;NA,80.00;120.00;2435.00;NA,160.00 ;245.00;4875.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,260.00 ;390.00;7830.00;NA,31-Aug-20
Mahasamudram,01-Apr-21,85.00;125.00;2785.00;40.00,135.00;200.00;4495.00;65.00,285.00 ;425.00;9420.00;140.00,310.00 ;460.00;10275.00;155.00,445.00 ;665.00;14770.00;220.00,445.00 ;665.00;14770.00;220.00,540.00 ;810.00;17980.00;270.00,
Rampura,01-Apr-21,80.00;120.00;2710.00;40.00,130.00;195.00;4380.00;65.00,275.00 ;415.00;9175.00;140.00,300.00 ;450.00;10005.00;150.00,430.00 ;645.00;14385.00;215.00,430.00 ;645.00;14385.00;215.00,525.00 ;790.00;17510.00;265.00,
Marur,01-Apr-21,115.00;175.00;3905.00;60.00,190.00;285.00;6310.00;95.00,395.00 ;595.00;13220.00;200.00,435.00 ;650.00;14425.00;215.00,620.00 ;935.00;20735.00;310.00,620.00 ;935.00;20735.00;310.00,755.00 ;1135.00;25240.00;380.00,
Krishnavaram,01-Apr-21,90.00;135.00;2995.00;45.00,145.00;220.00;4835.00;75.00,305.00 ;455.00;10135.00;150.00,330.00 ;495.00;11055.00;165.00,475.00 ;715.00;15890.00;240.00,475.00 ;715.00;15890.00;240.00,580.00 ;870.00;19345.00;290.00,
Palsit,01-Apr-21,90.00;135.00;2975.00;45.00,145.00;215.00;4805.00;70.00,300.00 ;455.00;10070.00;150.00,330.00 ;495.00;10985.00;165.00,475.00 ;710.00;15790.00;235.00,475.00 ;710.00;15790.00;235.00,575.00 ;865.00;19220.00;290.00,
Nivedita Setu,04-Jul-2019          ,,,,,,,,03-Jul-20
