plazaCode,PlazaName,Latitude,Longitude,Issue,
10004,Narayanpura Toll Plaza,24.613591,74.2309215,,
336019,Kathpur Toll Plaza,23.4101603,72.8264187,,
360037,Kappalur,9.8442807,78.0090022,,
340020,Daroada,20.450771,78.755345,,
189001,AIT Toll Plaza,25.8799432,79.2081408,,
190001,SEMRI Toll Plaza,25.6367808,78.8728978,,
345053,Milanpur Toll Plaza,21.8638039,77.9549452,,
356022,Surathkal Toll Plaza,13.0133602,74.7907389,,
340021,Patanswangi Toll Plaza,21.3437541,79.006844,,
380018,Runni Shaidpur Toll Plaza,26.373679,85.4917962,,
379007,Diengpasoh Toll Plaza,25.6488753,92.0454537,,
540002,Shedung Toll Plaza,18.9474068,73.1767011,,
540003,Khalapur Toll Plaza,18.80121,73.28548,,
540004,Kusgaon Toll Plaza,18.75542,73.39978,,
380012,Saukala Toll Plaza,24.5995566,84.7006474,,
336005,KHEMANA TOLL PLAZA,24.2413252,72.4604941,,
370014,Paschim Madati,26.5688095,88.2733547,,
320052,Raibha toll plaza,27.164087,77.815004,,
312018,Khuian Malkna,29.880038,74.794413,,
314017,Kalajhar Toll Plaza,30.266077,76.148475,,
314022,Kot Karor Kalan Plaza,30.827124,74.916778,,
314019,Jeeda Toll Plaza,30.385153,74.983179,,
330074,Nimbasar,26.1538583,71.2753245,,
350004,Chinthapally,17.471528,79.980556,,
379004,Pasyih,25.4675936,92.2719517,,
32001,Omalur Toll Plaza,11.7200492,78.071153,,
340019,Baswant,20.1417684,73.9742256,,
234001,Palempalli Toll Plaza,14.5136249,78.7890476,,
345046,Fulara,22.0435568,79.4165387,,
312001,Narwana,29.5785395,76.0862907,,
312002,Bado patti,29.299886,75.820022,,
352001,Nannur,15.7409152,78.0685858,,
330025,Rajora Khurd,26.85495,77.72262,,
352013,Chapirevula,15.4603856,78.4496637,,
360039,Nanguneri,8.5269667,77.661043,,
380015,Maranga,25.7286672,87.4560797,,
330077,UNDVARIYA TOLL PLAZA,24.6336071,72.9048473,,
132001,IDTL Toll Plaza-A,22.8246489,75.9361978,,
375012,SERGARH TOLL PLAZA,21.4287088,86.8330618,,
187001,Nawabganj Toll Plaza,26.6231267,80.6925925,,
187002,Ahmadpur Toll Plaza,26.858389,81.4202633,,
187003,Ronahi Toll Plaza,26.7679193,81.9473504,,
215001,Aliyapur Toll Plaza,26.0698016,80.1607947,,
215002,Khanna Toll Plaza,25.5432561,80.058003,,
375019,Banajodi,21.71072,85.58373,,
330085,Hathitala Toll Plaza,25.561048,71.407176,,
330086,Bor Charnan Toll Plaza,25.10225,71.55951,,
330087,Kair Fakir Ki Dhani toll plaza,26.6307103,71.2056009,,
360038,Salaipudur,8.9757411,77.7724299,,
360049,Paranur,12.7242371,79.9797617,,
360050,Lembalakudi,10.2996089,78.7685109,,
360051,Lechchumanapatti,10.6242078,78.7454654,,
370020,Palsit,23.182347,88.01761,,
