Report type:,Route,,,,,,
,,,,,,,
Device:,HR02AM4455,,Distance:,654.5 km,,,
Group:,,,,,,,
Period:,2021-04-01 00:00:00 - 2021-04-30 23:59:59,,,,,,
,,,,,,,
Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes
TRUE,2021-04-13 16:49:45,28.669417,77.352474,0 m,0.0 km/h,"Saur Urja Marg, Gamma 2, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",motion=false  distance=0.0  totalDistance=0.0  ignition=false
TRUE,2021-04-13 16:50:15,28.669417,77.352474,0 m,0.0 km/h,"Saur Urja Marg, Gamma 2, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",charge=false  motion=false  blocked=false  distance=0.0  totalDistance=0.0  ignition=false  batteryLevel=16
TRUE,2021-04-13 16:50:15,28.669417,77.352474,0 m,0.0 km/h,"Saur Urja Marg, Gamma 2, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",charge=true  motion=false  blocked=false  distance=0.0  totalDistance=0.0  ignition=false  batteryLevel=16
TRUE,2021-04-13 16:54:35,28.669561,77.352729,0 m,0.0 km/h,"Saur Urja Marg, Gamma 2, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",charge=true  motion=false  blocked=false  distance=29.58  totalDistance=29.58  ignition=false  batteryLevel=16
TRUE,2021-04-13 16:54:45,28.669561,77.352729,0 m,0.0 km/h,"Saur Urja Marg, Gamma 2, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",charge=true  motion=false  blocked=false  distance=0.0  alarm=parking  totalDistance=29.58  ignition=true  batteryLevel=33
TRUE,2021-04-13 17:09:45,28.669338,77.352874,0 m,0.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",charge=true  motion=false  blocked=false  distance=28.560000000000002  alarm=parking  totalDistance=58.14  ignition=true  batteryLevel=33
TRUE,2021-04-13 17:10:53,28.669334,77.352533,0 m,13.0 km/h,"Saur Urja Marg, Jhandapur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",hours=67403  charge=true  motion=true  blocked=false  distance=33.260000000000005  alarm=parking  totalDistance=91.4  ignition=true  batteryLevel=33
TRUE,2021-04-13 17:11:05,28.669181,77.351991,0 m,19.0 km/h,"Jhandapur Main Road, Sahibabad Industrial Area, Ghaziabad, Ghaziabad, Uttar Pradesh 201010, India",hours=79704  charge=true  motion=true  blocked=false  distance=55.639999999999986  totalDistance=147.04  ignition=true  batteryLevel=33
